creation_block;suicide_block;address
51909;51921;
52444;52481;
54300;54316;
55101;55166;
55199;55245;
55365;55502;
56131;56142;
56289;56319;
56236;56379;
56414;56476;
56478;56620;
59923;59936;
59995;60101;
61251;61352;
61435;61673;
62127;62158;
62166;62204;
62220;62255;
62182;62378;
62398;62428;
62435;62492;
61142;62525;
62499;62594;
64076;64766;
64444;66000;
67263;67473;
71765;71774;
73141;73276;
73492;73515;
73713;73765;
77949;78047;
78494;78571;
78667;78743;
79729;82154;
85533;85649;
86004;86036;
88380;88440;
72119;89356;
91510;91544;
97123;97170;
97227;97237;
97240;97246;
97261;97266;
97268;97281;
96025;97404;
79056;99836;
99937;100019;
101535;101584;
106625;106972;
109188;109200;
112879;113121;
114093;114339;
114760;114798;
116155;116172;
116496;116525;
116525;116525;
116526;116529;
116530;116530;
116530;116530;
116685;116756;
116978;117351;
120024;120042;
120056;120093;
120104;120109;
122372;123825;
125049;125076;
126347;126356;
127809;127880;
131217;131251;
76967;132770;
103892;132775;
129484;132777;
135577;135608;
135619;135630;
135843;135863;
137810;137839;
124391;141362;
141547;141749;
141790;141829;
142887;142924;
143440;143509;
147663;147673;
147677;147680;
147585;147696;
147846;147862;
147866;147875;
147904;147916;
151452;151563;
155865;155878;
156614;156634;
156652;156656;
157982;158792;
158154;158795;
158602;158797;
158610;158799;
158620;158800;
158633;158803;
158654;158805;
158844;158854;
159095;159102;
160921;161305;
163630;163680;
163724;163844;
164728;164795;
164815;165361;
165471;165481;
165491;165496;
165502;165507;
165514;165529;
165534;165565;
165567;165572;
166385;167415;
169277;169302;
169320;169366;
169370;169378;
168634;169650;
170303;170353;
170358;170606;
171330;171334;
172600;173665;
174032;174040;
170695;174067;
174042;174088;
174093;174139;
175919;175936;
177395;177426;
177442;177489;
177499;177535;
177539;177554;
177563;177600;
177608;177623;
177660;177678;
177713;177719;
177721;177743;
177753;177782;
177795;177799;
177814;177878;
177885;177891;
177895;177903;
177905;177918;
177920;177927;
177933;177946;
177951;177979;
177982;178019;
178364;178380;
178478;178492;
178497;178536;
116114;179098;
179566;179607;
179608;179680;
180376;180399;
180407;180413;
180417;180451;
183440;183459;
183807;183841;
185494;185512;
185514;185597;
187584;187604;
188217;188241;
188229;188241;
188264;188286;
188274;188286;
188292;188337;
189289;189310;
189293;189310;
189327;189337;
189323;189337;
189343;189353;
189346;189354;
189359;189436;
189361;189436;
189442;189465;
189458;189465;
189473;189495;
189469;189496;
195304;195322;
195318;195333;
195353;195365;
198383;198397;
198994;199024;
199033;199076;
180383;199946;
204529;204602;
204857;204925;
205106;205147;
207287;207325;
207415;208118;
209047;209061;
214581;214592;
214620;214630;
214691;214707;
220841;220902;
220912;220952;
222162;222202;
222521;222550;
224622;224624;
224644;224666;
224690;224697;
224706;224719;
224719;224725;
224752;224762;
224764;224780;
224805;224833;
226500;226560;
227870;227955;
225056;228560;
228566;228574;
228878;228886;
229254;229921;
230031;230126;
230147;230203;
230389;230497;
230662;230673;
230682;230689;
230680;230690;
230697;230705;
230744;230753;
231017;231024;
231172;231181;
231315;231323;
231495;231501;
231495;231501;
231504;231524;
231504;231524;
231607;231624;
231577;231641;
230209;231643;
231681;231727;
231655;231781;
232899;232908;
233033;233041;
233159;233170;
233221;233227;
232434;233283;
233367;233376;
233380;233388;
235404;235415;
236253;236264;
231820;236275;
237795;237847;
238385;238395;
174007;238713;
184235;238716;
184277;238718;
184604;238719;
238711;238722;
186423;238723;
190512;238723;
238761;238771;
240820;240863;
241978;242005;
241983;242005;
242018;242032;
242013;242033;
242048;242091;
242046;242091;
243792;243800;
243826;243826;
245150;245162;
244787;245746;
236382;246233;
246236;246449;
248216;248223;
248234;248243;
249862;249958;
250797;250853;
257862;257869;
257885;257902;
257988;258001;
258009;258019;
258021;258027;
258039;258053;
258073;258108;
258115;258128;
258128;258176;
258188;258212;
259116;259280;
262929;262943;
262962;262971;
262976;263033;
263033;263070;
246501;265061;
263070;267825;
267889;267904;
267939;267978;
268023;268036;
268036;268046;
268046;268096;
268101;268119;
268120;268129;
268129;268143;
268143;268163;
268168;268176;
268180;268192;
268209;268222;
268233;268271;
268282;268290;
274214;274259;
274233;274260;
274271;274317;
274266;274317;
274709;274777;
275694;275699;
274899;275985;
276826;276836;
276625;276839;
276931;277131;
276923;277131;
276962;277131;
276992;277132;
276987;277132;
277028;277133;
247119;277779;
277894;277941;
283004;283629;
283642;283796;
285687;285715;
286510;286548;
284269;286684;
286462;286686;
288638;288970;
288975;289081;
289592;289629;
295461;295483;
298916;298935;
298960;299089;
299096;299111;
299534;299566;
299573;299663;
265044;301193;
302585;302592;
303991;304052;
304061;304108;
263791;304399;
284632;304409;
304526;304630;
305216;305226;
307822;307949;
308936;309105;
309321;309349;
309351;309372;
309378;309391;
309741;309816;
309873;309892;
309405;309908;
310109;310177;
312090;312124;
309909;312360;
312361;312383;
312391;312408;
312418;312428;
312433;312650;
312804;312809;
312827;312864;
312869;312888;
312923;312958;
312969;312975;
312977;313105;
313117;313138;
313141;313148;
314653;314735;
314798;314845;
318139;318335;
318431;318554;
324314;324322;
328416;328624;
328635;328673;
328688;329701;
330041;330043;
329571;330928;
330051;332646;
335442;337439;
337441;337483;
337485;339782;
339795;340105;
343228;343245;
343073;347481;
347589;347891;
347373;348123;
