suicide_block;count
3633401;1
3632463;1
3631127;1
3630607;1
3617919;1
3617577;1
3616473;1
3616264;1
3616144;1
3615626;1
3615397;1
3615146;1
3614265;1
3611954;1
3609438;1
3609189;1
3609096;1
3603537;1
3603312;1
3601421;1
3601090;1
3599804;1
3599712;1
3599557;1
3597985;1
3597965;1
3592049;1
3591913;1
3591810;1
3591726;1
3591675;1
3591594;1
3591401;1
3590907;1
3590560;4
3590488;1
3588964;1
3588566;1
3587015;1
3586920;1
3586864;1
3586516;1
3586038;1
3585586;1
3584830;1
3582576;1
3582043;1
3579815;1
3579737;1
3579704;1
3579517;1
3579494;1
3575757;1
3558803;1
3558710;1
3558507;1
3558452;1
3558293;1
3557184;1
3550177;1
3550156;1
3550147;1
3550126;1
3550107;1
3548896;1
3548824;1
3548683;1
3544433;1
3544398;1
3542371;1
3542104;1
3541888;1
3541586;1
3541541;1
3540754;1
3539267;1
3534630;1
3533660;1
3528996;1
3526868;1
3522667;1
3522076;1
3517009;1
3506823;2
3505917;1
3505649;10
3505617;10
3505610;9
3505595;10
3505578;10
3505569;8
3505557;9
3505551;10
3505539;5
3505537;4
3505510;9
3505499;9
3505487;10
3505466;10
3505448;10
3505421;6
3505417;6
3505405;4
3505393;10
3505246;20
3505228;1
3502464;1
3501205;1
3500767;1
3500712;1
3500621;1
3500428;1
3499229;1
3497915;1
3496059;1
3496057;1
3496053;1
3496051;1
3496048;1
3496046;1
3496043;2
3493551;1
3488479;1
3479955;1
3443556;1
3442020;1
3441837;1
3434790;1
3434766;1
3434744;1
3434598;1
3434567;1
3427693;1
3427529;1
3427527;1
3425920;1
3425900;1
3423085;1
3422693;1
3421547;1
3414720;1
3414566;1
3414281;1
3414270;1
3412421;1
3410823;1
3410117;1
3410028;1
3408862;1
3405151;1
3402900;1
3396535;1
3395773;1
3395001;1
3394923;1
3394922;1
3393648;1
3391347;1
3391128;1
3391072;1
3390024;1
3386507;1
3373817;1
3373760;1
3366562;1
3365356;1
3364777;1
3361683;1
3358079;1
3355971;1
3355937;1
3355720;1
